"Ward No","Ward Name","Sub Division","Division","Assembly Constituency","Zone Name","Park Name","Latitude ","Longitude","Square Meter","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","B Sector 20th and 21st Cross P B 8 in Yelahanka Newtown","13.096081","77.578142","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Allalasandra park","13.083141","77.587499","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","16th B Anjaneya temple park in yelahanka Newtown","13.095845","77.579221","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","17th and 18th Cross B Sector in Yelahanka Newtown","13.098315","77.576892","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","7th B Main B Sector Sharadanagara Arch in Yelahanka Newtown","13.097157","77.580482","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","22nd and 24th Cross P B 10 in Yelahanka Newtown","13.0959","77.57724","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Judicial layout Kanaka nagara park","13.079095","77.590355","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","16th B Cross Opp to House No 1150 inYelahanka newtown","13.093722","77.582285","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","6th and 7th Main A sector in Yelahanka Newtown P A 3","13.097407","77.586323","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","Yelahanka Mother Dairy Boulevard","13.095326","77.571271","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","10th and 11th Main  A Sector P A 4 park in Yelahanka new town","13.094428","77.587782","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","6th and 7th Main B Sector Basavalingappa  Park in Yelahanka Newtown P B 2","13.097605","77.581023","0.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","9th and 10th Main B Sector P B 3 in Yelahanka Newtown","13.09825","77.579699","9,803.00","","","","","","","","",""
"4","Yelahanka Satellite Town","Yelahanka","Yelahanka","Yelahanka","Yelahanka","22nd Cross park in Yelahanka Newtown P B 9","13.096229","77.576968","669.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Agrahara Layout Hospital premises pak","13.073092","77.599477","4,000.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Jakkuru Aerodrum park","13.079006","77.593457","1,000.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Near Dwaraka Nagara School Park","13.083093","77.606474","2,000.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Near  Ashrama in Kattigenahalli park","13.12245","77.621724","8,200.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Telecom layout park","12.967038","77.549701","9,000.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Prakruthi layout park in Kogilu Road","13.108605","77.62199","2,145.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Near  Railway Gate   park in MCEHS layout","13.078666","77.6099","4,110.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Vinfield Layout  Main Road park","13.072525","77.61716","4,000.00","","","","","","","","",""
"5","Jakkuru","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","3rd and 4th Cross in Vinfield layout park","13.072164","77.613716","2,800.00","","","","","","","","",""
"6","Thanisandra","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","MCEHS Layout park","13.069735","77.628073","8,200.00","","","","","","","","",""
"6","Thanisandra","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Bhuvaneshwarinagara park","13.054213","77.602293","9,398.00","","","","","","","","",""
"6","Thanisandra","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","5th Cross  Shabhari Nagara park Hegade nagara","13.070281","77.637109","1,500.00","","","","","","","","",""
"6","Thanisandra","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","8th cross park in MCEHS Layout","13.069735","77.628073","2,900.00","","","","","","","","",""
"6","Thanisandra","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Rachenahalli park","13.063592","77.616566","2,000.00","","","","","","","","",""
"6","Thanisandra","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Near Chamundi Temple Bhuvaneshwari layout park  in Rachenahalli","13.054658","77.602396","1,000.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Coffee Board layout park","13.049733","77.605014","12,825.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Kodigehalli Gundanjaneya Temple","13.058005","77.591249","3,957.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Ravishankar layout Sanjeevini nagara park","13.051439","77.590248","1,000.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","Sahakaranagara park No 01","13.059301","77.590664","5,950.00","","","","","","","","",""
"7","Byatarayanapura","Byatarayanapura","Byatarayanapura","Byatarayanapura","Yelahanka","UAS Layout Jakkuru","13.082569","77.603887","4,000.00","","","","","","","","",""
