wellnessCentreName,latitude,longitude
AYURVEDIC WC No. 2 NAGPUR,21.158367,79.057464599609
AYURVEDIC WC No. 5 NAGPUR,21.131998,79.097015380859
HOMEOPATHIC WC No. 2 NAGPUR,21.158367,79.057464599609
NAGPUR POLYCLINIC,21.169594,79.067153930664
JABALPUR 1,23.161173,79.924438476562
CGHS WC 5 JABALPUR,23.204065,80.011009216309
Gandhingar,23.210667,72.648986816406
AYURVEDIC LALDARWAJA,23.035217,72.569198608398
Wellness Center Basavangudi,12.935114,77.547332763672
Wellness Center Ulsoor,12.975879,77.625366210938
Wellness Center CV Raman Nagar DRDO,12.987225,77.662384033203
North Avenue (Ayur),28.618547,77.199165344238
"R.K.Puram-V,(Sec-12)",28.573278,77.175804138184
Kingsway Camp Ayurvedic,28.698978,77.201965332031
Sadiq Nagar,28.554974,77.226783752441
Kalibari (Ayur),28.629055,77.200057983398
Lodhi Road II,28.58217,77.225112915039
KIDWAI NAGAR,28.5682,77.203475952148
LAXMIBAI NAGAR,28.575865,77.206520080566
Delhi Cantt,28.590773,77.119911193848
Jharoda Kalan,28.639637,76.960342407227
Dwarka,28.59262,77.08275604248
West Patel Nagr,28.651194,77.167007446289
Andrews Ganj,28.565308,77.231430053711
Minto Road,28.639399,77.227073669434
"R.K.Puram I,Sec 4",28.56311,77.179229736328
R K PURAM-II,28.564442,77.172782897949
"RK Puram IV,Sec8",28.571602,77.166931152344
Rajpur Road,28.66859,77.216262817383
Laxminagar,28.630802,77.277275085449
MUNIRKA,28.55014,77.17024230957
KALKAJI-II,28.531225,77.251976013184
Mayur Vihar,28.604736,77.29402923584
DAKSHINPURI(PUSHP VIHAR),28.523653,77.22632598877
Pitampura,28.691742,77.115119934082
Sunder Vihar,28.669186,77.102737426758
Yamuna Vihar,28.701345,77.267509460449
Dilshad Garden ,28.68036,77.313598632812
SUPREME COURT,28.620775,77.238380432129
South Avenue (Homeo),28.608507,77.19864654541
HOMEOPATHIC WC RKP-XII,28.573261,77.175849914551
Laxmi Nagar Homeopathic,28.630806,77.276947021484
Kalibari (Homeo),28.629055,77.200057983398
SIDHA WC LODHI ROAD,28.582287,77.22452545166
CGHS Milan Vihar Wellness Centre,30.328388,78.039535522461
JANTA COLONY,26.907198,75.836952209473
Kasba Peth,18.51888,73.859901428223
Byculla,18.97616,72.835624694824
Mulund,19.172121,72.944244384766
"KUJURMARG, POWAL",19.126501,72.923355102539
SANTAKRUZ,19.103624,72.857276916504
Lake Town,22.608047,88.402359008789
Gotanagar,26.13751,91.674942016602
GUWAHATI HOMEO 1,26.146744,91.788162231445
Wellness Centre Opp. Raj Bhawan,25.5722,91.886840820312
Agartala,23.862661,91.285575866699
AG’S Colony,17.449778,78.4306640625
Kakatiyanagar,17.438862,78.356460571289
NUNGAMBAKKAM,13.066692,80.248046875
RA PURAM,13.021473,80.259689331055
R. K. NAGAR,26.470814,80.319633483887
Ratan Lal Nagar,26.444014,80.287391662598
Lucknow 1,26.863432,80.99488067627
Lucknow3,26.79093,80.904441833496
Lucknow5,26.83356,80.947494506836
"NEW AG COLONY, DORANDA",23.343538,85.31861114502
CHINDWARA ROAD,21.176567,79.083320617676
MEDICAL SQUARE,21.131998,79.097015380859
SHANKAR NAGAR,21.134077,79.056648254395
Navrangpura,0.0,0.0
Laldarwaja,23.027882,72.58381652832
Wellness Center Vijayanagara,12.973906,77.539962768555
Wellness Center Koramangala,12.92536,77.620819091797
Wellness Center Domlur,12.959418,77.642333984375
CGHS Polyclinic,12.92536,77.620819091797
KA AYUR1 BASAVANAGUDI,12.934715,77.547073364258
KA AYUR2 DOMLUR,12.960297,77.640037536621
KA HOMOEO SHIVAJINAGAR,12.980467,77.603233337402
KA UNANI SHIVAJINAGAR,12.980249,77.603302001953
VISAKHAPATNAM,17.728617,83.331787109375
Virtual Dispensary,0.0,0.0
AYURVEDIC WC MEHRAULI BADARPUR,28.52314,77.220932006836
AYURVEDIC HOSPITAL LODHI ROAD,28.582735,77.220359802246
Moti Bagh,28.584455,77.178153991699
President Estate,28.6243,77.199020385742
New Rajinder Ngr,28.635836,77.184494018555
R K PURAM-III,28.565052,77.17342376709
CBI COLONY,28.557566,77.163307189941
CHITRA GUPTA ROAD,28.642258,77.208213806152
Inderpuri,28.635563,77.146148681641
Kingsway Camp,28.688356,77.198348999023
Sadiq Nagar,28.554974,77.226783752441
KASTURBA NAGAR-II,28.575907,77.228942871094
Janakpuri-II,28.621658,77.089332580566
Chandni Chowk,28.657497,77.235252380371
Paschim Vihar,28.669004,77.102836608887
Pragati Vihar,28.588785,77.231704711914
Shalimar Bagh,28.70817,77.15461730957
Naraina Vihar,28.624996,77.143531799316
Dev Nagar (Homeo),28.654589,77.184173583984
HOMEOPATHIC WC KASTURBA NAGAR-I,28.565622,77.249351501465
PHA (ANNEXE),28.6206,77.208457946777
Darya Ganj Unani,28.657492,77.235252380371
South Avenue (Unani),28.60824,77.199737548828
Abu Lane,28.997236,77.702308654785
Kanker Khera,29.030275,77.684211730957
Chandigarh,30.70427,76.760932922363
SHIMLA,31.103388,77.147415161133
Mukundnagar,19.017027,72.856430053711
PUNE Polyclinic,18.494251,73.859367370605
Ayurvedic Mukund Nagar,18.493698,73.857162475586
Homeopathic Boys battalion Pune,18.551321,73.819808959961
"Sheikh Mistry, Koliwada",19.02878,72.86833190918
Parel,18.99578,72.843238830566
Juhu,19.103073,72.857269287109
BBD Bag,22.566198,88.349876403809
Santagachi,22.593863,88.280181884766
Kudghat,22.479055,88.347091674805
Regent Estate,22.51736,88.399871826172
AiZwal,23.721273,92.71346282959
Tarnaka,17.402079,78.558563232422
Kachiguda,17.386848,78.487945556641
ADYAR,12.991768,80.253433227539
ANNA NAGAR,13.088988,80.20435333252
PERAMBUR,13.116081,80.231666564941
ROYAPURAM,13.101272,80.294654846191
TRIPLICANE,13.069741,80.286636352539
Vanchiyoor,8.533302,76.94612121582
Saket Nagar,26.435453,80.317657470703
Azad Nagar,26.500862,80.306259155273
Lucknow4,26.843386,80.884719848633
PMG Office Hazaratganj,26.86548,80.915664672852
Drummond,25.450512,81.82738494873
AYURVEDIC UNIT,25.449434,81.830924987793
HOMEO UNIT,25.449434,81.830924987793
Jahangirabad,23.245274,77.416221618652
Vasant Kunj,23.200207,77.434722900391
Westland OFK-Extn. Counter of Wellness Centre no. 3,23.188099,79.985572814941
Shahalam,22.999426,72.591529846191
Bopal,23.026167,72.476913452148
AYURVEDIC GANDHI NAGAR,23.207758,72.648399353027
Wellness Center Seshadripuram,12.98935,77.574111938477
Wellness Center Jayanara,12.941909,77.579864501953
